Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
ADI,82.8,+2.97%,2.39,80.41,80.62,82.31 x 1000,82.86 x 1100,80.42 - 82.86,76.62 - 103.59,4208216,3220398
ANSS,146.2,+1.66%,2.39,143.81,144.02,133.49 x 100,150.00 x 300,143.52 - 147.17,134.45 - 190.45,502283,533310
ANTM,265.49,+0.75%,1.97,263.52,264.34,0.00 x 800,281.91 x 900,261.60 - 267.25,199.75 - 283.06,1904065,1116826
AON,158.7,+2.26%,3.51,155.19,156.55,0.00 x 800,0.00 x 800,154.95 - 159.13,130.87 - 159.13,2344850,876500
AOS,45.72,+8.70%,3.66,42.06,40.81,42.57 x 800,0.00 x 900,40.34 - 45.85,40.34 - 68.39,6189652,1682838
APA,37.45,+3.51%,1.27,36.18,35.75,0.00 x 800,0.00 x 1400,35.75 - 37.52,33.60 - 50.03,4800562,2983836
AIV,43.74,+0.88%,0.38,43.36,43.53,0.00 x 800,0.00 x 2200,43.38 - 44.23,37.97 - 45.64,1140059,966204
AAPL,213.3,+0.50%,1.06,212.24,211.15,214.90 x 900,214.92 x 1100,209.27 - 215.18,150.24 - 233.47,32614452,33142304
AMAT,32.42,+4.18%,1.3,31.12,31.2,32.04 x 1000,32.60 x 1400,31.10 - 32.46,30.53 - 62.40,13282035,12884458
APTV,74.17,-2.69%,-2.05,76.22,76.19,0.00 x 1000,92.50 x 900,72.96 - 76.89,72.08 - 103.23,5574187,2184872
ADM,48,+2.11%,0.99,47.01,47.4,0.00 x 2200,0.00 x 800,46.98 - 48.03,38.59 - 52.07,3884166,3437452
ARNC,19.7,+2.50%,0.48,19.22,19.58,0.00 x 1100,21.68 x 1100,18.89 - 19.89,16.47 - 31.17,5619974,3157881
ANET,228.46,+4.87%,10.6,217.86,218.13,223.00 x 900,234.22 x 800,215.60 - 228.63,177.92 - 313.37,915371,1193103
AJG,74.31,+0.62%,0.46,73.85,74.17,0.00 x 900,0.00 x 900,73.13 - 74.42,62.04 - 76.49,1114219,761349
AIZ,96.77,+1.61%,1.53,95.24,95.8,0.00 x 800,0.00 x 800,94.92 - 96.91,84.34 - 111.43,402381,693203
T,30.47,+2.80%,0.83,29.64,29.85,0.00 x 1800,33.91 x 1400,29.82 - 30.59,28.85 - 39.33,49148657,34719924
ADSK,125.96,+1.47%,1.83,124.13,123.87,121.56 x 100,126.02 x 200,123.02 - 126.88,101.55 - 159.94,1871141,2161698
ADP,137.26,+1.45%,1.96,135.3,135.87,133.52 x 100,136.70 x 1000,134.47 - 137.26,107.61 - 153.51,2527033,1897692
AZO,747.4,+0.05%,0.35,747.05,748.96,0.00 x 1300,0.00 x 1000,741.67 - 755.79,576.13 - 797.89,292587,299995
AVB,178.61,+0.26%,0.47,178.14,180.03,0.00 x 800,0.00 x 800,177.21 - 182.62,152.65 - 188.91,933373,534749
AVY,90.59,+1.34%,1.2,89.39,89.69,0.00 x 900,0.00 x 800,88.67 - 90.97,88.67 - 123.67,984749,595080
BHGE,27.26,+2.52%,0.67,26.59,27.51,27.01 x 900,27.49 x 800,25.55 - 27.51,25.53 - 37.76,7803737,3227367
BLL,44.97,+2.51%,1.1,43.87,43.84,39.00 x 800,0.00 x 2200,43.80 - 45.06,34.71 - 46.89,2875851,3040464
BAC,26.78,+0.64%,0.17,26.61,26.76,26.80 x 1400,26.84 x 1400,26.32 - 26.86,25.81 - 33.05,79004847,59723684
BK,46.92,+2.51%,1.15,45.77,46.1,45.01 x 2200,48.17 x 3000,45.92 - 46.97,45.16 - 58.99,7078810,5417490
BAX,68.66,+2.42%,1.62,67.04,67.22,0.00 x 800,0.00 x 1100,67.00 - 68.89,62.52 - 78.38,5427746,2882530
