Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
FRT,126.91,+1.28%,1.6,125.31,125.9,112.75 x 900,0.00 x 1200,125.12 - 128.32,106.41 - 134.52,614933,406913
FDX,216.53,+2.60%,5.49,211.04,211.08,0.00 x 100,223.49 x 100,210.90 - 217.14,207.90 - 274.66,1302404,1631010
FIS,103.62,+4.53%,4.49,99.13,100.12,0.00 x 800,105.99 x 2200,98.76 - 103.66,89.31 - 110.83,3478229,1477620
FITB,26.86,+0.86%,0.23,26.63,26.7,26.67 x 900,28.94 x 1100,26.21 - 26.91,24.10 - 34.67,8709437,5306880
FE,37.23,-0.08%,-0.03,37.26,37.42,0.00 x 41800,0.00 x 2900,36.92 - 37.84,29.34 - 39.01,4877129,3552964
FISV,77.94,+0.98%,0.76,77.18,77.42,76.22 x 1400,79.99 x 800,76.73 - 78.00,60.19 - 82.79,2845241,1804012
FLT,185.25,+1.10%,2.02,183.23,183.85,0.00 x 800,0.00 x 100,180.63 - 185.83,163.39 - 230.24,1434601,569293
FLIR,46.36,-12.92%,-6.88,53.24,50.5,46.36 x 900,47.25 x 1100,45.00 - 50.50,45.00 - 63.88,3602816,742415
FLS,45.9,+3.26%,1.45,44.45,44.46,0.00 x 1000,60.00 x 1100,44.13 - 46.09,37.71 - 56.86,1833754,1112978
FLR,44.53,+2.60%,1.13,43.4,43.49,0.00 x 800,47.70 x 1200,43.17 - 44.65,42.44 - 62.09,1552537,1392895
FMC,77.29,+1.36%,1.04,76.25,76.32,0.00 x 800,0.00 x 1000,75.59 - 77.49,72.73 - 98.70,1134634,1074472
FL,48.65,+4.80%,2.23,46.42,46.8,30.00 x 1300,0.00 x 1000,46.44 - 48.85,28.42 - 59.40,3192420,3269227
F,9.46,+1.94%,0.18,9.28,9.31,9.49 x 3100,9.50 x 900,9.27 - 9.56,8.17 - 13.48,58061997,44765401
FTNT,78.95,+1.82%,1.41,77.54,77.28,79.00 x 100,84.66 x 800,76.91 - 79.46,38.12 - 94.37,1741127,2466252
FTV,71.68,-0.72%,-0.52,72.2,72.2,0.00 x 1200,0.00 x 800,70.80 - 72.60,69.03 - 88.34,5129506,6271640
FBHS,44.17,+6.67%,2.76,41.41,41.4,0.00 x 900,52.40 x 1800,40.92 - 44.40,40.89 - 73.62,3918827,1810000
BEN,30.98,+4.56%,1.35,29.63,29.77,29.93 x 1800,31.55 x 800,29.77 - 31.01,28.12 - 45.96,6576776,3702916
FCX,11.41,+2.89%,0.32,11.09,10.99,11.30 x 900,0.00 x 900,10.95 - 11.48,10.59 - 20.25,22696245,19252692
GPS,28.48,+3.04%,0.84,27.64,27.72,26.05 x 3100,28.88 x 4000,27.55 - 28.52,25.27 - 35.68,3599654,4870260
GRMN,63.05,+2.07%,1.28,61.77,61.76,63.20 x 800,64.98 x 800,61.58 - 63.18,56.21 - 70.77,1557806,1164164
IT,142.23,+0.97%,1.37,140.86,141.19,142.23 x 1300,142.26 x 100,140.51 - 143.76,111.57 - 161.21,1830614,591745
GD,171.89,+2.90%,4.85,167.04,167.38,0.00 x 900,0.00 x 800,166.44 - 172.62,164.76 - 230.00,2405798,1320506
GE,10.18,-8.78%,-0.98,11.16,10.56,10.16 x 3100,0.00 x 2200,9.87 - 11.40,9.87 - 20.75,344976676,74022756
GIS,45.5,+3.08%,1.36,44.14,44.54,0.00 x 4000,45.50 x 900,44.35 - 45.56,41.01 - 60.69,7296614,4531293
GM,33.54,+1.24%,0.41,33.13,33.18,33.56 x 1200,0.00 x 900,33.02 - 33.92,30.56 - 45.52,16287542,12744018
GPC,98.33,-1.42%,-1.42,99.75,97.18,0.00 x 800,0.00 x 2900,97.18 - 98.92,84.71 - 107.75,2080821,731092
GILD,72.04,+1.61%,1.14,70.9,71.24,71.12 x 1100,72.07 x 1200,71.05 - 72.60,64.27 - 89.54,5561235,6355875
GPN,110.66,+1.67%,1.82,108.84,109.5,0.00 x 900,119.80 x 900,107.64 - 113.23,95.32 - 129.25,2416044,1114615
GS,219.28,+2.23%,4.79,214.49,215.99,0.00 x 200,219.99 x 100,215.04 - 220.35,208.40 - 275.31,3897378,2818118
GT,21.58,+2.57%,0.54,21.04,21.03,21.64 x 800,21.81 x 3200,20.73 - 21.84,19.25 - 36.07,4850676,3634101
GWW,283.15,+2.76%,7.6,275.55,275.55,160.00 x 100,0.00 x 100,274.21 - 283.34,191.39 - 372.06,947017,715061
HAL,35.06,+1.86%,0.64,34.42,34.26,0.00 x 1000,35.90 x 3000,34.10 - 35.22,33.73 - 57.86,10404432,8887838
HBI,17.59,+5.27%,0.88,16.71,16.74,0.00 x 900,0.00 x 900,16.71 - 17.62,16.08 - 23.33,7514779,5801972
HOG,37.76,+3.40%,1.24,36.52,36.47,37.12 x 1100,39.00 x 800,36.45 - 37.80,35.76 - 56.50,2421018,2169383
HRS,150.85,+2.84%,4.16,146.69,146.19,0.00 x 300,162.00 x 200,143.16 - 151.11,135.21 - 175.50,1855409,839460
HIG,45.14,+1.30%,0.58,44.56,44.76,0.00 x 1200,0.00 x 2900,44.03 - 45.21,43.31 - 59.20,2799750,2568626
HAS,91.84,-0.21%,-0.19,92.03,92.1,91.84 x 800,94.87 x 800,91.25 - 93.49,79.00 - 109.60,1106513,1182716
HCA,135.21,+4.81%,6.21,129,128,0.00 x 200,0.00 x 1400,121.17 - 136.07,74.26 - 141.11,4695770,1750769
HCP,27.35,+1.22%,0.33,27.02,27.13,0.00 x 3000,0.00 x 3100,26.96 - 27.78,21.48 - 27.78,6345322,2583712
HP,61.93,+1.57%,0.96,60.97,60.65,0.00 x 800,0.00 x 1300,60.13 - 62.06,52.53 - 75.02,1565796,1154618
HSIC,83.34,+2.62%,2.13,81.21,81.47,69.67 x 100,83.48 x 1000,81.06 - 83.48,62.56 - 90.52,1609284,1373427
HSY,108.04,+1.92%,2.04,106,106,0.00 x 2900,0.00 x 4000,105.77 - 108.09,89.10 - 115.82,1775601,1104132
HES,57.08,+1.64%,0.92,56.16,56.21,0.00 x 1300,58.00 x 1100,55.20 - 57.22,40.37 - 74.81,3736650,2952243
HPE,14.93,+2.47%,0.36,14.57,14.57,0.00 x 42300,0.00 x 21500,14.51 - 14.94,12.81 - 19.48,8297060,9830500
HLT,68.7,+0.15%,0.1,68.6,68.6,62.50 x 1000,70.76 x 1400,67.86 - 69.63,63.76 - 88.11,3200491,3750269
HFC,63.26,+1.79%,1.11,62.15,62.26,0.00 x 200,0.00 x 1400,61.79 - 63.59,36.41 - 83.28,2119050,2301556
HOLX,38.65,+1.98%,0.75,37.9,38.03,35.00 x 800,38.67 x 800,37.91 - 38.69,35.10 - 45.09,1549898,2116587
HD,176.24,+1.76%,3.04,173.2,173.16,0.00 x 1000,0.00 x 200,172.64 - 176.43,160.53 - 215.43,5657107,4595516
HON,142.96,+1.35%,1.9,141.06,141.46,0.00 x 1000,0.00 x 1000,140.67 - 143.09,133.71 - 162.52,4204636,2930335
HRL,43.36,+1.59%,0.68,42.68,42.86,0.00 x 2200,0.00 x 2200,42.84 - 43.39,30.44 - 43.39,3716710,2661043
HST,18.97,+1.55%,0.29,18.68,18.75,0.00 x 1800,0.00 x 40000,18.63 - 19.07,17.93 - 22.47,8289996,7076287
HPQ,23.67,+2.82%,0.65,23.02,23.07,23.41 x 1000,25.00 x 1400,22.98 - 23.70,19.31 - 27.08,9441089,8990050
HUM,323.5,+1.85%,5.89,317.61,318.59,0.00 x 100,0.00 x 100,314.71 - 323.97,231.90 - 341.30,448954,500867
HBAN,14.08,+1.44%,0.2,13.88,13.95,13.58 x 45100,14.39 x 900,13.68 - 14.10,13.04 - 16.60,17910539,11043852
HII,214.16,+2.67%,5.57,208.59,207.71,0.00 x 100,267.28 x 100,206.99 - 214.41,201.91 - 276.69,382633,330940
IDXX,210.22,+3.09%,6.31,203.91,204.21,190.00 x 100,217.18 x 800,204.03 - 210.46,146.09 - 256.22,659522,486083
INFO,51.43,+2.00%,1.01,50.42,50.65,45.00 x 900,51.49 x 1800,50.51 - 51.45,42.40 - 55.99,1759151,1554106
ITW,129.7,+3.08%,3.88,125.82,126.16,119.00 x 100,0.00 x 900,125.87 - 130.04,119.38 - 179.07,2391962,1675255
ILMN,303.75,+3.93%,11.5,292.25,292.81,301.40 x 300,305.00 x 100,289.28 - 304.01,203.39 - 372.61,1075429,1068295
IR,95.96,+2.82%,2.63,93.33,93.48,0.00 x 100,0.00 x 800,93.17 - 96.08,79.63 - 105.76,2227510,1647106
INTC,47.76,+5.20%,2.36,45.4,45.53,47.91 x 1200,48.00 x 1000,45.46 - 47.87,42.04 - 57.60,39002054,27023963
ICE,73.1,+0.32%,0.23,72.87,73.41,0.00 x 900,79.50 x 800,72.49 - 73.70,65.15 - 78.48,8262948,2562076
IBM,115.4,-3.54%,-4.24,119.64,120.48,116.38 x 4000,0.00 x 1200,115.15 - 121.50,115.15 - 171.13,21458594,5212598
INCY,61.03,-3.62%,-2.29,63.32,61.41,61.00 x 800,63.96 x 1000,58.33 - 63.00,58.33 - 117.95,5361375,1484189
IP,45.38,+3.99%,1.74,43.64,43.74,0.00 x 4000,0.00 x 1200,43.63 - 45.62,39.60 - 66.94,5469052,3226367
IPG,23.4,+1.92%,0.44,22.96,22.95,21.43 x 4000,0.00 x 1000,22.91 - 23.41,18.30 - 26.01,4419530,4339075
IFF,144.39,+3.29%,4.6,139.79,140.08,0.00 x 200,0.00 x 800,139.17 - 144.60,122.11 - 157.40,1161942,1160335
INTU,202.8,+1.06%,2.13,200.67,200.88,202.80 x 100,207.30 x 100,199.47 - 204.21,150.43 - 231.84,1283922,1628612
ISRG,490.82,+2.71%,12.96,477.86,477.04,497.00 x 100,504.00 x 200,472.68 - 491.65,359.75 - 581.12,1010016,692920
IVZ,21.92,+3.20%,0.68,21.24,21.4,0.00 x 900,0.00 x 29200,21.28 - 21.99,19.66 - 38.43,7570182,5220415
IPGP,141.8,+7.97%,10.47,131.33,108.51,137.05 x 200,152.73 x 100,107.59 - 142.22,107.59 - 264.11,2157357,870789
IQV,119.83,-0.81%,-0.98,120.81,121.26,88.00 x 100,0.00 x 100,118.54 - 122.36,91.57 - 135.48,1433785,1136161
IRM,31.61,+0.77%,0.24,31.37,31.46,30.79 x 1800,32.85 x 800,31.15 - 31.98,30.22 - 41.53,2293717,1838995
JEC,74.14,+2.40%,1.74,72.4,72.27,0.00 x 800,0.00 x 800,72.15 - 74.27,55.21 - 78.32,952363,1112146
JBHT,109.76,+2.48%,2.66,107.1,107.24,99.76 x 100,119.00 x 100,107.24 - 110.46,100.78 - 131.74,839879,775560
JEF,21.03,+2.19%,0.45,20.58,20.69,0.00 x 800,0.00 x 800,20.66 - 21.29,20.22 - 28.17,2556066,1996186
SJM,109.6,+1.75%,1.89,107.71,108.27,103.00 x 800,0.00 x 800,108.05 - 110.40,96.13 - 133.38,1963123,1143730
JNJ,140.75,+2.33%,3.2,137.55,137.93,0.00 x 800,0.00 x 800,137.00 - 141.10,118.62 - 148.32,9646224,6355250
JCI,31.81,+1.69%,0.53,31.28,31.33,0.00 x 900,32.95 x 3000,31.06 - 31.95,30.60 - 41.98,8146778,5277056
JPM,106.7,+1.76%,1.85,104.85,105.71,0.00 x 900,0.00 x 1800,104.86 - 106.98,95.95 - 119.33,18019681,13698441
JNPR,28.78,+2.60%,0.73,28.05,28.22,0.00 x 3100,0.00 x 1400,28.07 - 28.81,23.61 - 30.23,4956811,4216069
KSU,101.3,+2.47%,2.44,98.86,99.23,90.04 x 1000,108.80 x 800,98.82 - 101.39,97.46 - 120.34,1595713,1156576
K,71.86,+2.23%,1.57,70.29,70.88,0.00 x 200,0.00 x 800,70.44 - 72.02,56.40 - 74.98,2010218,1784910
KEY,17.82,+1.89%,0.33,17.49,17.58,16.78 x 39400,18.91 x 40000,17.41 - 17.87,16.48 - 22.40,15856921,11375015
KMB,106.23,+3.84%,3.93,102.3,103.09,0.00 x 800,0.00 x 900,103.01 - 106.55,97.10 - 123.77,2894379,2239701
KIM,16.31,+2.45%,0.39,15.92,15.97,0.00 x 46000,0.00 x 2900,15.95 - 16.45,13.16 - 19.53,5317561,3561927
KMI,16.76,+3.08%,0.5,16.26,16.27,16.36 x 1000,0.00 x 1400,16.27 - 16.78,14.69 - 19.83,20923123,13380364
KLAC,91.6,+7.60%,6.47,85.13,88.5,91.30 x 100,91.75 x 900,87.02 - 92.48,84.59 - 123.96,2566280,1743595
KSS,78.42,+3.27%,2.48,75.94,76.18,0.00 x 1400,0.00 x 1800,76.05 - 78.77,37.97 - 82.42,4321208,3068515
KHC,55.85,+0.59%,0.33,55.52,55.62,55.60 x 3100,55.83 x 1800,55.33 - 56.43,53.03 - 82.48,5494333,6312898
KR,30.09,+6.59%,1.86,28.23,28.36,0.00 x 1100,0.00 x 900,28.22 - 30.19,20.56 - 32.74,18527231,9298635
LB,32.44,+3.54%,1.11,31.33,31.46,0.00 x 2200,0.00 x 900,31.37 - 32.45,25.89 - 63.10,4271131,5748344
LLL,191.8,+3.00%,5.58,186.22,185.08,0.00 x 900,0.00 x 100,181.56 - 192.36,180.24 - 223.73,1088298,650763
LH,158.42,+0.20%,0.31,158.11,156.71,0.00 x 100,0.00 x 800,156.15 - 158.65,147.70 - 190.36,783461,731793
LRCX,139.27,+2.57%,3.49,135.78,135.83,139.50 x 800,139.99 x 1000,134.86 - 141.08,134.86 - 234.88,3574054,3051909
LEG,36.29,+5.31%,1.83,34.46,34.72,0.00 x 1200,0.00 x 1800,34.30 - 36.36,34.07 - 49.88,2928187,1179796
LEN,43.04,+4.95%,2.03,41.01,40.91,0.00 x 1200,0.00 x 2200,40.37 - 43.11,38.94 - 72.17,10655834,3972800
LLY,108.34,+0.88%,0.94,107.4,107.23,0.00 x 800,0.00 x 1000,107.08 - 108.51,73.69 - 116.61,3325906,4030712
LNC,58.9,+1.99%,1.15,57.75,58.33,0.00 x 1000,0.00 x 900,57.50 - 58.99,57.06 - 86.68,1967005,1475558
LKQ,26.68,+0.23%,0.06,26.62,26.6,24.77 x 40700,31.50 x 800,26.23 - 26.95,25.35 - 43.86,3678492,2706073
LMT,291.07,+1.53%,4.4,286.67,285.61,0.00 x 100,0.00 x 800,283.72 - 292.50,283.21 - 363.00,2870022,1255329
L,46.12,+1.81%,0.82,45.3,45.54,0.00 x 900,0.00 x 1400,45.17 - 46.18,44.78 - 53.59,1382477,1290860
LOW,94.74,+2.02%,1.88,92.86,93.11,0.00 x 300,0.00 x 2200,92.99 - 95.02,75.36 - 117.70,4913153,4873584
LYB,88.82,+0.42%,0.37,88.45,89.07,0.00 x 1000,0.00 x 100,85.60 - 90.00,85.60 - 121.95,5161369,2454581
MTB,163.2,+1.02%,1.65,161.55,161.75,0.00 x 800,0.00 x 100,160.32 - 163.42,154.33 - 197.37,1062883,826918
MAC,51.88,+0.17%,0.09,51.79,52.03,0.00 x 800,0.00 x 1100,51.79 - 53.39,49.41 - 69.73,1299409,886718
M,35.72,+5.12%,1.74,33.98,34.2,0.00 x 3200,0.00 x 900,34.07 - 35.77,17.41 - 41.99,9319069,7745200
MRO,18.68,+2.92%,0.53,18.15,17.94,0.00 x 1300,0.00 x 2900,17.85 - 18.72,13.98 - 24.20,14023427,10847072
MPC,68.8,+2.34%,1.57,67.23,67.45,0.00 x 1200,0.00 x 800,66.80 - 69.13,58.83 - 88.45,6470590,6261396
MAR,115.27,+2.21%,2.49,112.78,112.85,111.10 x 200,115.35 x 1000,112.45 - 115.37,106.96 - 149.21,2411581,2307603
MMC,84.19,+2.22%,1.83,82.36,82.8,0.00 x 800,0.00 x 1000,82.18 - 84.29,77.11 - 87.89,2058598,1814433
MLM,166.21,+8.33%,12.78,153.43,153.81,0.00 x 800,0.00 x 900,153.54 - 166.57,150.75 - 241.33,2607639,858898
MAS,29.5,+7.47%,2.05,27.45,27.7,0.00 x 800,0.00 x 1800,27.50 - 29.77,27.15 - 46.45,7074510,3637280
MA,187.73,-1.73%,-3.31,191.04,192.58,0.00 x 1400,0.00 x 800,183.75 - 193.63,140.61 - 225.35,9239212,3776580
MAT,13.79,+3.37%,0.45,13.34,13.31,13.53 x 39400,14.34 x 800,13.15 - 13.91,12.21 - 19.21,4694873,3778996
MKC,144.75,+3.08%,4.32,140.43,140.43,0.00 x 1000,0.00 x 800,140.20 - 145.04,93.70 - 145.04,1662931,840944
MCD,178.49,+3.04%,5.26,173.23,173.51,0.00 x 1300,0.00 x 1400,173.44 - 178.59,146.84 - 178.70,5582931,3698023
MCK,124.12,+2.77%,3.35,120.77,121.25,0.00 x 2900,0.00 x 1400,120.21 - 124.20,117.19 - 178.86,1608406,1604469
MDT,90.27,+0.92%,0.82,89.45,89.65,0.00 x 800,0.00 x 3100,89.16 - 90.62,76.41 - 100.15,5582158,4976512
MRK,72.87,+1.99%,1.42,71.45,71.69,0.00 x 1100,0.00 x 900,71.50 - 72.96,52.83 - 73.49,18937000,9090709
MET,40.73,+1.93%,0.77,39.96,40.28,0.00 x 3200,0.00 x 1800,39.67 - 40.80,39.31 - 55.91,10079771,5749446
MTD,541.07,+1.37%,7.3,533.77,535.5,0.00 x 1100,0.00 x 900,533.31 - 552.96,521.79 - 697.26,202099,158929
MGM,25.19,+3.96%,0.96,24.23,24.03,0.00 x 3000,0.00 x 800,23.81 - 25.20,23.81 - 38.41,12584441,9393783
KORS,54.65,-0.73%,-0.4,55.05,55.47,0.00 x 800,0.00 x 1000,53.66 - 56.25,47.49 - 75.96,3270721,2280690
MCHP,64.85,+4.11%,2.56,62.29,62.43,63.26 x 800,65.84 x 1200,62.01 - 64.95,60.70 - 104.20,2794959,4278500
MU,36.01,+3.89%,1.35,34.66,34.64,36.00 x 2900,36.10 x 900,34.49 - 36.05,33.82 - 64.66,33299607,36504707
MSFT,103.73,-0.12%,-0.12,103.85,103.66,103.67 x 900,103.90 x 2200,100.11 - 104.38,80.70 - 116.18,60046257,27850949
MAA,100,+0.40%,0.4,99.6,100.01,0.00 x 100,0.00 x 900,99.57 - 101.10,85.16 - 106.77,600559,541346
MHK,123.94,+6.59%,7.66,116.28,116.05,0.00 x 1100,0.00 x 1400,115.39 - 124.14,113.45 - 286.85,3093089,1208192
TAP,58.21,+2.86%,1.62,56.59,56.81,0.00 x 800,0.00 x 800,56.50 - 58.44,55.52 - 85.86,4770835,1977083
MDLZ,42.12,+5.01%,2.01,40.11,41.9,41.78 x 3200,42.15 x 1200,41.08 - 42.17,37.42 - 46.54,13353715,6573841
MNST,52.97,+3.22%,1.65,51.32,51.76,52.20 x 1100,53.01 x 900,51.62 - 53.04,47.61 - 70.22,3082593,2851521
MCO,141.14,-0.08%,-0.12,141.26,141.98,0.00 x 900,0.00 x 1100,140.07 - 142.55,139.11 - 187.98,1867349,979367
MS,44.5,+1.95%,0.85,43.65,44,0.00 x 1300,0.00 x 4000,43.56 - 44.59,42.88 - 59.38,14780330,9769913
MOS,30.44,+2.73%,0.81,29.63,29.69,0.00 x 1400,0.00 x 3200,29.30 - 30.51,22.24 - 34.01,5367974,4125964
MSI,119.24,+1.86%,2.18,117.06,117.25,0.00 x 100,0.00 x 200,115.92 - 119.48,89.18 - 131.48,1093104,904318
MSCI,144.51,+1.06%,1.51,143,142.83,0.00 x 800,0.00 x 800,140.46 - 145.23,115.17 - 184.22,1584398,645110
MYL,31.31,+0.42%,0.13,31.18,31.13,31.01 x 4000,31.33 x 1800,30.76 - 31.71,30.33 - 47.82,4127366,4871572
NDAQ,85.83,+2.08%,1.75,84.08,84.47,73.94 x 1000,86.79 x 1200,83.68 - 85.93,71.65 - 96.84,960092,903224
NOV,37.13,+5.75%,2.02,35.11,35.09,0.00 x 900,0.00 x 2200,34.53 - 37.22,31.47 - 49.08,4406990,3320695
NKTR,37.51,+2.57%,0.94,36.57,36.66,35.02 x 3000,37.45 x 900,36.17 - 37.88,22.92 - 111.36,1586939,2160118
NTAP,76.56,+6.47%,4.65,71.91,71.95,76.02 x 800,76.99 x 1100,71.69 - 76.66,43.56 - 88.08,2984681,2571656
NFLX,285.81,+0.34%,0.97,284.84,275.57,288.85 x 1000,289.00 x 1200,271.21 - 290.52,178.38 - 423.21,22800813,11320167
NWL,15.96,+3.64%,0.56,15.4,15.44,0.00 x 800,0.00 x 4000,15.40 - 16.03,15.12 - 41.31,9490495,9331289
NFX,19.43,+1.73%,0.33,19.1,18.93,0.00 x 900,0.00 x 1000,18.78 - 19.48,18.67 - 35.20,4913662,2776086
NEM,31,+0.78%,0.24,30.76,30.68,0.00 x 800,0.00 x 3100,30.47 - 31.28,29.06 - 42.04,6532276,6212664
NWSA,12.82,+2.81%,0.35,12.47,12.51,12.82 x 800,13.70 x 900,12.48 - 12.82,12.24 - 17.29,2428436,3963621
NWS,13.03,+2.68%,0.34,12.69,12.78,12.98 x 2900,14.00 x 800,12.72 - 13.03,12.58 - 17.70,454580,720898
NEE,173.55,+0.45%,0.77,172.78,173.72,0.00 x 200,0.00 x 100,171.32 - 174.54,145.10 - 176.83,1893233,1707240
NLSN,25.47,+2.45%,0.61,24.86,24.93,0.00 x 1800,0.00 x 3200,24.80 - 26.04,20.53 - 39.25,7586141,5818015
NKE,74.51,+3.21%,2.32,72.19,73.07,0.00 x 800,0.00 x 800,72.81 - 74.64,54.59 - 86.04,9469954,7509775
NI,25.88,+1.03%,0.26,25.61,25.73,0.00 x 800,0.00 x 2200,25.57 - 25.98,22.44 - 28.11,4449412,3636536
NBL,24.77,+2.14%,0.52,24.25,24.11,0.00 x 3200,0.00 x 800,23.96 - 24.98,23.83 - 37.76,7566893,4868076
JWN,66.9,+6.89%,4.31,62.59,63.3,0.00 x 1400,0.00 x 1100,63.29 - 67.06,37.79 - 67.06,3762021,2734472
NSC,166.31,+3.24%,5.22,161.09,161.46,0.00 x 100,0.00 x 3000,161.10 - 166.75,125.59 - 186.91,1944201,1964249
NTRS,92.4,+2.75%,2.47,89.93,90.61,89.00 x 1200,93.33 x 2200,89.57 - 92.54,87.98 - 115.61,1339642,1353200
NOC,261.1,+1.87%,4.8,256.3,254.88,0.00 x 100,0.00 x 100,251.66 - 261.25,251.66 - 360.88,2452979,1227952
NCLH,42.4,+0.17%,0.07,42.33,42.52,0.00 x 1000,0.00 x 1100,41.61 - 42.66,41.61 - 61.18,4543645,1889773
NRG,35.73,+0.90%,0.32,35.41,35.4,0.00 x 1000,0.00 x 3200,35.36 - 35.93,23.75 - 38.25,3507374,3744747
NUE,57.91,+1.86%,1.06,56.85,56.92,0.00 x 800,0.00 x 1400,56.80 - 58.15,53.71 - 70.48,3865155,2453698
NVDA,203,+9.36%,17.38,185.62,186.55,203.00 x 1000,203.30 x 3200,185.62 - 203.25,176.01 - 292.76,19397385,11270996
ORLY,330.47,+0.39%,1.29,329.18,330.69,321.07 x 100,345.50 x 300,327.34 - 335.28,205.65 - 351.65,550231,607190
OXY,67.55,+1.64%,1.09,66.46,66.42,0.00 x 800,0.00 x 1100,66.10 - 67.71,62.47 - 87.67,4770725,4775446
OMC,74.8,+3.27%,2.37,72.43,72.64,0.00 x 1800,0.00 x 800,72.54 - 74.86,65.32 - 83.34,3387195,2459086
OKE,63.27,+0.06%,0.04,63.23,63.21,0.00 x 800,0.00 x 900,62.20 - 63.82,49.65 - 71.99,2377196,2323696
ORCL,48.57,+3.30%,1.55,47.02,47.08,0.00 x 1200,0.00 x 4000,46.92 - 48.62,42.57 - 53.48,24438150,18027583
PCAR,56.48,+1.20%,0.67,55.81,56.05,55.01 x 1800,56.52 x 800,55.60 - 57.44,53.95 - 79.69,2948888,2037375
PKG,92.96,+4.05%,3.62,89.34,89.57,0.00 x 100,0.00 x 1200,89.40 - 93.49,83.54 - 131.13,1494096,1009764
PH,148.31,+2.13%,3.09,145.22,145.16,0.00 x 800,0.00 x 800,144.57 - 148.87,143.00 - 212.80,2261271,1167080
PAYX,64.63,+1.11%,0.71,63.92,64.01,64.11 x 800,64.67 x 1000,63.70 - 64.71,59.36 - 76.02,2083787,2050286
PYPL,80.9,-0.31%,-0.25,81.15,80.33,81.35 x 800,81.50 x 1100,79.42 - 81.96,68.61 - 93.70,11982626,9249973
PNR,39.82,+1.92%,0.75,39.07,39.38,0.00 x 3000,0.00 x 1300,39.09 - 40.01,36.06 - 50.26,2333961,1579496
PBCT,15.84,+1.73%,0.27,15.57,15.65,15.85 x 1800,16.26 x 46000,15.45 - 15.88,15.04 - 20.26,4705900,3233095
PEP,113.77,+0.78%,0.88,112.89,113.75,113.77 x 800,113.85 x 4000,112.60 - 114.23,95.94 - 122.51,3748513,4350406
PKI,85.68,+2.22%,1.86,83.82,84.16,0.00 x 900,0.00 x 900,83.75 - 85.78,69.21 - 98.33,810145,629001
PRGO,69.79,+2.23%,1.52,68.27,68.44,0.00 x 800,0.00 x 800,67.90 - 70.25,67.40 - 95.93,1253377,1532875
PFE,42.89,-0.79%,-0.34,43.23,41.95,0.00 x 3000,0.00 x 900,41.78 - 43.09,33.20 - 45.81,33609272,21830533
PCG,46.93,+0.32%,0.15,46.78,47.09,0.00 x 800,0.00 x 3200,46.27 - 47.31,37.30 - 58.38,4618836,6091604
PM,90.47,+0.01%,0.01,90.46,91.2,0.00 x 800,0.00 x 900,89.87 - 92.69,76.21 - 111.25,6472330,5544167
PSX,102.06,+3.59%,3.54,98.52,99.38,0.00 x 100,0.00 x 900,99.37 - 102.25,89.14 - 123.97,2554438,2723520
PNW,83.68,+0.31%,0.26,83.42,83.67,0.00 x 200,0.00 x 100,82.81 - 84.26,73.41 - 92.48,699400,925481
PXD,145.78,+1.89%,2.7,143.08,142.27,0.00 x 100,0.00 x 100,141.86 - 146.18,140.54 - 213.40,1673324,1485976
PNC,124.76,+2.13%,2.6,122.16,122.82,0.00 x 900,0.00 x 900,121.89 - 125.01,116.55 - 163.59,3431755,2175610
RL,131.09,+0.16%,0.21,130.88,131.39,0.00 x 1000,0.00 x 800,127.94 - 132.46,83.91 - 147.79,1547857,1015133
PPG,104.22,+1.29%,1.33,102.89,102.98,0.00 x 800,0.00 x 800,102.11 - 104.61,94.37 - 122.07,3070712,1892601
PPL,30.75,+0.69%,0.21,30.54,30.69,0.00 x 4000,0.00 x 1300,30.30 - 30.82,25.30 - 37.57,4835153,4714249
PX,164.5,-0.60%,-0.99,165.49,166.11,0.00 x 800,0.00 x 800,162.74 - 167.67,140.00 - 169.75,57375630,3352578
PFG,46.25,+0.98%,0.45,45.8,46.09,45.55 x 1300,56.00 x 800,45.39 - 46.63,45.39 - 75.58,2867305,1426627
PG,89.19,+1.08%,0.95,88.24,88.85,0.00 x 900,0.00 x 800,88.21 - 89.43,70.73 - 93.14,13844080,8436096
PGR,69.79,+1.34%,0.92,68.87,69.13,0.00 x 1100,0.00 x 1400,68.40 - 70.03,48.69 - 72.72,2701233,3120550
PLD,65.62,+0.49%,0.32,65.3,65.53,0.00 x 2200,0.00 x 800,65.10 - 66.09,58.28 - 68.20,2414385,3437975
PRU,92.44,+1.86%,1.69,90.75,91.36,0.00 x 900,0.00 x 800,90.47 - 92.74,89.33 - 127.14,3289405,2017181
PEG,54.37,-1.56%,-0.86,55.23,55.39,0.00 x 900,0.00 x 1200,54.18 - 55.80,46.19 - 56.68,4168493,2870361
PSA,207.71,+0.81%,1.67,206.04,206,0.00 x 800,0.00 x 100,205.08 - 210.20,180.48 - 234.90,1984487,941380
PHM,24.9,+6.32%,1.48,23.42,23.29,0.00 x 3000,0.00 x 1400,23.07 - 25.06,20.64 - 35.21,13468957,5313475
PVH,118.06,-0.28%,-0.33,118.39,119.43,0.00 x 900,0.00 x 100,117.34 - 121.09,116.52 - 169.22,1105010,1145243
QRVO,70.95,+2.35%,1.63,69.32,69.41,70.51 x 100,71.50 x 1100,68.93 - 71.12,64.53 - 86.84,1485939,1182381
